State,abbrev,Stay at home order,Educational facilities closed,Non-essential services closed,Pop density per mi2,Population,Land area in mi2,Governor,Party,Trump Vote,Clinton Vote,Trump Margin
Alabama,AL,,3/19/2020,,95.9,"4,858,979","50,645",Kay Ivey,Republican,0.6208,0.3436,0.2772
Alaska,AK,3/28/2020,3/16/2020,3/28/2020,1.3,"738,432","570,641",Mike Dunleavy,Republican,0.5128,0.3655,0.1473
Arizona,AZ,3/30/2020,3/16/2020,,60.1,"6,828,065","113,594",Doug Ducey,Republican,0.4867,0.4513,0.0354
Arkansas,AR,,3/17/2020,,57.2,"2,978,204","52,035",Asa Hutchinson,Republican,0.6057,0.3365,0.2692
California,CA,3/19/2020,3/19/2020,3/19/2020,251.0,"39,144,818","155,959",Gavin Newsom,Democratic,0.3162,0.6173,-0.3011
Colorado,CO,3/26/2020,3/23/2020,3/26/2020,52.6,"5,456,574","103,642",Jared Polis,Democratic,0.4325,0.4816,-0.0491
Connecticut,CT,,3/17/2020,3/23/2020,741.6,"3,590,886","4,842",Ned Lamont,Democratic,0.4093,0.5457,-0.1364
Delaware,DE,3/24/2020,3/16/2020,3/24/2020,485.3,"945,934","1,949",John Carney,Democratic,0.4172,0.5309,-0.1137
District of Columbia,DC,3/30/2020,3/16/2020,3/25/2020,"11,020.1","672,228",61,Muriel Bowser,Democratic,0.0407,0.9048,-0.8641
Florida,FL,4/1/2020,3/17/2020,,378.0,"20,271,272","53,625",Ron DeSantis,Republican,0.4902,0.4782,0.012
Georgia,GA,,3/18/2020,,177.6,"10,214,860","57,513",Brian Kemp,Republican,0.5077,0.4564,0.0513
Hawaii,HI,3/25/2020,3/19/2020,3/25/2020,222.9,"1,431,603","6,423",David Ige,Democratic,0.3003,0.6222,-0.3219
Idaho,ID,3/25/2020,3/23/2020,3/25/2020,20.0,"1,654,930","82,643",Brad Little,Republican,0.5926,0.2749,0.3177
Illinois,IL,3/21/2020,3/17/2020,3/21/2020,231.6,"12,859,995","55,519",J. B. Pritzker,Democratic,0.3876,0.5583,-0.1707
